"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Partners","","0","0","1","0","0"
"","Sign up by link in footer","","0","0","1","0","0"
"","Data Privacy footer","","0","0","1","0","0"
"","Blog footer","","0","0","1","0","0"
"","Developer Docs","","0","0","1","0","0"
"","Programmable SMS footer","","0","0","1","0","0"
"","Blog","","0","0","1","0","0"
"","Products Messaging footer","","0","0","1","0","0"
"","Sign up by link in header","","0","0","1","0","0"
"","Network","","0","0","1","0","0"
"","Products Voice footer","","0","0","1","0","0"
"","Sign up for free","","0","0","1","0","0"
"","Number Lookup","","0","0","1","0","0"
"","About Telnyx","","0","0","1","0","0"
"","Login","","0","0","1","0","0"
